sample,number_reads,min_length,max_length
SRR13297089_Q1.fastq.gz,136220,100,301
SRR13297090_Q1.fastq.gz,124300,100,301
SRR13297091_Q1.fastq.gz,85161,100,301
SRR13297092_Q1.fastq.gz,185725,100,301
SRR13297093_Q1.fastq.gz,200537,100,301
SRR13297094_Q1.fastq.gz,210548,100,301
SRR13297095_Q1.fastq.gz,128523,100,301
SRR13297096_Q1.fastq.gz,226758,100,301
SRR13297097_Q1.fastq.gz,150779,100,301
SRR13297098_Q1.fastq.gz,107352,100,301
SRR13297099_Q1.fastq.gz,222129,100,301
SRR13297100_Q1.fastq.gz,120787,100,301
SRR13297101_Q1.fastq.gz,178714,100,301
SRR13297102_Q1.fastq.gz,158072,100,301
SRR13297103_Q1.fastq.gz,171014,100,301
SRR13297104_Q1.fastq.gz,122739,100,301
SRR13297105_Q1.fastq.gz,171309,100,301
SRR13297106_Q1.fastq.gz,96803,100,301
SRR13297107_Q1.fastq.gz,90639,100,301
SRR13297108_Q1.fastq.gz,157967,100,301
SRR13297109_Q1.fastq.gz,165818,100,301
SRR13297110_Q1.fastq.gz,120540,100,301
SRR13297111_Q1.fastq.gz,82846,100,301
SRR13297112_Q1.fastq.gz,159642,100,301
SRR13297113_Q1.fastq.gz,98418,100,301
SRR13297114_Q1.fastq.gz,172567,100,301
SRR13297115_Q1.fastq.gz,110596,100,301
SRR13297116_Q1.fastq.gz,106278,100,301
SRR13297117_Q1.fastq.gz,190150,100,301
SRR13297118_Q1.fastq.gz,83285,100,301
SRR13297119_Q1.fastq.gz,125505,100,301
SRR13297120_Q1.fastq.gz,143666,100,301
SRR13297121_Q1.fastq.gz,200778,100,301
SRR13297122_Q1.fastq.gz,137612,100,301
SRR13297123_Q1.fastq.gz,121639,100,301
SRR13297124_Q1.fastq.gz,194568,100,301
SRR13297125_Q1.fastq.gz,189017,100,301
SRR13297126_Q1.fastq.gz,141140,100,301
SRR13297127_Q1.fastq.gz,172350,100,301
SRR13297128_Q1.fastq.gz,234404,100,301
SRR13297129_Q1.fastq.gz,151105,100,301
SRR13297130_Q1.fastq.gz,89940,100,301
SRR13297131_Q1.fastq.gz,235116,100,301
SRR13297132_Q1.fastq.gz,105859,100,301
SRR13297133_Q1.fastq.gz,107130,100,301
SRR13297134_Q1.fastq.gz,180003,100,301
SRR13297135_Q1.fastq.gz,139180,100,301
SRR13297136_Q1.fastq.gz,91055,100,301
SRR13297137_Q1.fastq.gz,177201,100,301
SRR13297138_Q1.fastq.gz,160516,100,301
SRR13297139_Q1.fastq.gz,142825,100,301
SRR13297140_Q1.fastq.gz,98794,100,301
SRR13297141_Q1.fastq.gz,160988,100,301
SRR13297142_Q1.fastq.gz,82391,100,301
SRR13297143_Q1.fastq.gz,127387,100,301
SRR13297144_Q1.fastq.gz,128577,100,301
SRR13297145_Q1.fastq.gz,97314,100,301
SRR13297146_Q1.fastq.gz,82335,100,301
SRR13297147_Q1.fastq.gz,133706,100,301
SRR13297148_Q1.fastq.gz,134773,100,301
SRR13297149_Q1.fastq.gz,74111,100,301
SRR13297150_Q1.fastq.gz,159988,100,301
SRR13297151_Q1.fastq.gz,141248,100,301
SRR13297152_Q1.fastq.gz,101890,100,301
SRR13297153_Q1.fastq.gz,138121,100,301
SRR13297154_Q1.fastq.gz,171889,100,301
SRR13297155_Q1.fastq.gz,152577,100,301
SRR13297156_Q1.fastq.gz,147292,100,301
SRR13297157_Q1.fastq.gz,139217,100,301
SRR13297158_Q1.fastq.gz,139497,100,301
SRR13297159_Q1.fastq.gz,103703,100,301
SRR13297160_Q1.fastq.gz,113135,100,301
SRR13367054_Q1.fastq.gz,204817,100,151
SRR13367055_Q1.fastq.gz,455819,100,151
SRR13367056_Q1.fastq.gz,491944,100,151
SRR13367057_Q1.fastq.gz,214752,100,151
SRR13367058_Q1.fastq.gz,473133,100,151
SRR13367059_Q1.fastq.gz,221337,100,151
SRR13367060_Q1.fastq.gz,478992,100,151
SRR13367061_Q1.fastq.gz,192532,100,151
SRR13367062_Q1.fastq.gz,171950,100,151
SRR13367063_Q1.fastq.gz,333885,100,151
SRR13367064_Q1.fastq.gz,198640,100,151
SRR13367065_Q1.fastq.gz,157657,100,151
SRR13367066_Q1.fastq.gz,263027,100,151
SRR13367067_Q1.fastq.gz,176212,100,151
SRR13367068_Q1.fastq.gz,254307,100,151
SRR13367069_Q1.fastq.gz,368059,100,151
SRR13367070_Q1.fastq.gz,92411,100,151
SRR13367071_Q1.fastq.gz,137179,100,151
SRR13367072_Q1.fastq.gz,176929,100,151
SRR13367073_Q1.fastq.gz,169371,100,151
SRR13367074_Q1.fastq.gz,177413,100,151
SRR13367075_Q1.fastq.gz,154988,100,151
SRR13367076_Q1.fastq.gz,181761,100,151
SRR13367077_Q1.fastq.gz,171379,100,151
SRR13367078_Q1.fastq.gz,423491,100,151
SRR13367079_Q1.fastq.gz,252477,100,151
SRR13367080_Q1.fastq.gz,133221,100,151
SRR13367081_Q1.fastq.gz,212580,100,151
SRR13367082_Q1.fastq.gz,326018,100,151
SRR13367083_Q1.fastq.gz,212455,100,151
SRR13367084_Q1.fastq.gz,203458,100,151
SRR13367085_Q1.fastq.gz,299086,100,151
SRR13367086_Q1.fastq.gz,163144,100,151
SRR13367087_Q1.fastq.gz,214761,100,151
SRR13367088_Q1.fastq.gz,234331,100,151
SRR13367089_Q1.fastq.gz,242700,100,151
SRR13367090_Q1.fastq.gz,182125,100,151
SRR13367091_Q1.fastq.gz,254026,100,151
SRR13367092_Q1.fastq.gz,252567,100,151
SRR13367093_Q1.fastq.gz,209075,100,151
SRR13367094_Q1.fastq.gz,187728,100,151
SRR13367095_Q1.fastq.gz,346363,100,151
SRR13367096_Q1.fastq.gz,239193,100,151
SRR13367097_Q1.fastq.gz,202614,100,151
SRR13367098_Q1.fastq.gz,254600,100,151
SRR13367099_Q1.fastq.gz,241820,100,151
SRR13495725_Q1.fastq.gz,423063,100,151
SRR13495726_Q1.fastq.gz,289928,100,151
SRR13495727_Q1.fastq.gz,390923,100,151
SRR13495728_Q1.fastq.gz,328191,100,151
SRR13495729_Q1.fastq.gz,314852,100,151
SRR13495730_Q1.fastq.gz,366624,100,151
SRR13495731_Q1.fastq.gz,367613,100,151
SRR13495732_Q1.fastq.gz,304715,100,151
SRR13495733_Q1.fastq.gz,314106,100,151
SRR13495734_Q1.fastq.gz,326821,100,151
SRR13495735_Q1.fastq.gz,294130,100,151
SRR13495736_Q1.fastq.gz,280112,100,151
SRR13495737_Q1.fastq.gz,318944,100,151
SRR13495738_Q1.fastq.gz,293268,100,151
SRR13495739_Q1.fastq.gz,446369,100,151
SRR13495740_Q1.fastq.gz,241376,100,151
SRR13495741_Q1.fastq.gz,314723,100,151
SRR13495742_Q1.fastq.gz,376411,100,151
SRR13495743_Q1.fastq.gz,319675,100,151
SRR13495744_Q1.fastq.gz,329698,100,151
SRR13495745_Q1.fastq.gz,372030,100,151
SRR13495746_Q1.fastq.gz,301387,100,151
SRR13495747_Q1.fastq.gz,315899,100,151
