sample,number_reads,min_length,max_length
PRJNA673096/SRR13182917/SRR13182917,209588,35,301
PRJNA673096/SRR13182918/SRR13182918,213488,35,301
PRJNA673096/SRR13182919/SRR13182919,191454,35,301
PRJNA673096/SRR13182920/SRR13182920,236813,35,301
PRJNA673096/SRR13182921/SRR13182921,357844,35,301
PRJNA673096/SRR13182922/SRR13182922,281949,35,301
PRJNA673096/SRR13182923/SRR13182923,366491,35,301
PRJNA673096/SRR13182924/SRR13182924,302979,35,301
PRJNA673096/SRR13182925/SRR13182925,346753,35,301
PRJNA673096/SRR13297080/SRR13297080,261117,35,301
PRJNA673096/SRR13297081/SRR13297081,293772,35,301
PRJNA673096/SRR13297082/SRR13297082,254677,35,301
PRJNA673096/SRR13297083/SRR13297083,170253,35,301
PRJNA673096/SRR13297084/SRR13297084,289937,35,301
PRJNA673096/SRR13297085/SRR13297085,137598,35,301
PRJNA673096/SRR13297086/SRR13297086,283109,35,301
PRJNA673096/SRR13297087/SRR13297087,145209,35,301
PRJNA673096/SRR13297088/SRR13297088,217730,35,301
PRJNA673096/SRR13297089/SRR13297089,221987,35,301
PRJNA673096/SRR13297090/SRR13297090,230421,35,301
PRJNA673096/SRR13297091/SRR13297091,147157,35,301
PRJNA673096/SRR13297092/SRR13297092,306666,35,301
PRJNA673096/SRR13297093/SRR13297093,335710,35,301
PRJNA673096/SRR13297094/SRR13297094,326800,35,301
PRJNA673096/SRR13297095/SRR13297095,215381,35,301
PRJNA673096/SRR13297096/SRR13297096,378340,35,301
PRJNA673096/SRR13297097/SRR13297097,233502,35,301
PRJNA673096/SRR13297098/SRR13297098,191995,35,301
PRJNA673096/SRR13297099/SRR13297099,369451,35,301
PRJNA673096/SRR13297100/SRR13297100,222023,35,301
PRJNA673096/SRR13297101/SRR13297101,293234,35,301
PRJNA673096/SRR13297102/SRR13297102,271956,35,301
PRJNA673096/SRR13297103/SRR13297103,284488,35,301
PRJNA673096/SRR13297104/SRR13297104,188629,35,301
PRJNA673096/SRR13297105/SRR13297105,284512,35,301
PRJNA673096/SRR13297106/SRR13297106,144845,35,301
PRJNA673096/SRR13297107/SRR13297107,133763,35,301
PRJNA673096/SRR13297108/SRR13297108,265686,35,301
PRJNA673096/SRR13297109/SRR13297109,275431,35,301
PRJNA673096/SRR13297110/SRR13297110,195033,35,301
PRJNA673096/SRR13297111/SRR13297111,148894,35,301
PRJNA673096/SRR13297112/SRR13297112,247957,35,301
PRJNA673096/SRR13297113/SRR13297113,145876,35,301
PRJNA673096/SRR13297114/SRR13297114,283562,35,301
PRJNA673096/SRR13297115/SRR13297115,179844,35,301
PRJNA673096/SRR13297116/SRR13297116,214609,35,301
PRJNA673096/SRR13297117/SRR13297117,307068,35,301
PRJNA673096/SRR13297118/SRR13297118,150174,35,301
PRJNA673096/SRR13297119/SRR13297119,218080,35,301
PRJNA673096/SRR13297120/SRR13297120,217905,35,301
PRJNA673096/SRR13297121/SRR13297121,314991,35,301
PRJNA673096/SRR13297122/SRR13297122,209554,35,301
PRJNA673096/SRR13297123/SRR13297123,184580,35,301
PRJNA673096/SRR13297124/SRR13297124,329397,35,301
PRJNA673096/SRR13297125/SRR13297125,291890,35,301
PRJNA673096/SRR13297126/SRR13297126,234017,35,301
PRJNA673096/SRR13297127/SRR13297127,282364,35,301
PRJNA673096/SRR13297128/SRR13297128,374545,35,301
PRJNA673096/SRR13297129/SRR13297129,246916,35,301
PRJNA673096/SRR13297130/SRR13297130,131121,35,301
PRJNA673096/SRR13297131/SRR13297131,358762,35,301
PRJNA673096/SRR13297132/SRR13297132,171918,35,301
PRJNA673096/SRR13297133/SRR13297133,163287,35,301
PRJNA673096/SRR13297134/SRR13297134,310589,35,301
PRJNA673096/SRR13297135/SRR13297135,214870,35,301
PRJNA673096/SRR13297136/SRR13297136,149065,35,301
PRJNA673096/SRR13297137/SRR13297137,282286,35,301
PRJNA673096/SRR13297138/SRR13297138,238655,35,301
PRJNA673096/SRR13297139/SRR13297139,218903,35,301
PRJNA673096/SRR13297140/SRR13297140,159081,35,301
PRJNA673096/SRR13297141/SRR13297141,269567,35,301
PRJNA673096/SRR13297142/SRR13297142,138273,35,301
PRJNA673096/SRR13297143/SRR13297143,246971,35,301
PRJNA673096/SRR13297144/SRR13297144,213165,35,301
PRJNA673096/SRR13297145/SRR13297145,184752,35,301
PRJNA673096/SRR13297146/SRR13297146,137134,35,301
PRJNA673096/SRR13297147/SRR13297147,244439,35,301
PRJNA673096/SRR13297148/SRR13297148,239135,35,301
PRJNA673096/SRR13297149/SRR13297149,110490,35,301
PRJNA673096/SRR13297150/SRR13297150,263009,35,301
PRJNA673096/SRR13297151/SRR13297151,247864,35,301
PRJNA673096/SRR13297152/SRR13297152,176575,35,301
PRJNA673096/SRR13297153/SRR13297153,239798,35,301
PRJNA673096/SRR13297154/SRR13297154,291828,35,301
PRJNA673096/SRR13297155/SRR13297155,253295,35,301
PRJNA673096/SRR13297156/SRR13297156,259156,35,301
PRJNA673096/SRR13297157/SRR13297157,215205,35,301
PRJNA673096/SRR13297158/SRR13297158,238067,35,301
PRJNA673096/SRR13297159/SRR13297159,179338,35,301
PRJNA673096/SRR13297160/SRR13297160,185362,35,301
PRJNA673096/SRR13367054/SRR13367054,300971,35,151
PRJNA673096/SRR13367055/SRR13367055,731824,35,151
PRJNA673096/SRR13367056/SRR13367056,736792,35,151
PRJNA673096/SRR13367057/SRR13367057,309079,35,151
PRJNA673096/SRR13367058/SRR13367058,713371,35,151
PRJNA673096/SRR13367059/SRR13367059,338847,35,151
PRJNA673096/SRR13367060/SRR13367060,706594,35,151
PRJNA673096/SRR13367061/SRR13367061,309407,35,151
PRJNA673096/SRR13367062/SRR13367062,277590,35,151
PRJNA673096/SRR13367063/SRR13367063,500752,35,151
PRJNA673096/SRR13367064/SRR13367064,298195,35,151
PRJNA673096/SRR13367065/SRR13367065,234639,35,151
PRJNA673096/SRR13367066/SRR13367066,381209,35,151
PRJNA673096/SRR13367067/SRR13367067,295296,35,151
PRJNA673096/SRR13367068/SRR13367068,439424,35,151
